Emp Id,Name,Gender,Date of Birth,Department,Role,Salary,Email,Phone,Address
149494,Eesha Sekhon,Female,1987-05-02,Accounts,Financial Analyst,43000,jagat92@gmail.com,8621361081,H.No. 90 Raja Ganj Agartala 189158
397343,Kavya Oak,Male,1980-03-17,IT,Developer,61000,jagatjohal@gmail.com,9955430097,H.No. 32  Sathe Path  Srinagar 078913
761070,Kamala Wali,Female,1987-12-17,Sales,Sales Executive,87000,kjaggi@gmail.com,07099866339,936 Hari Street Begusarai 236087
890315,Akshay Pandit,Female,1978-07-02,Marketing,SEO Specialist,58000,tarak44@gmail.com,07743826834,68/98 Mandal Street  Danapur-093722
185157,Bhavika Chaudhary,Male,1985-07-11,Accounts,Financial Analyst,75000,qmemon@gmail.com,0061938089,H.No. 96  Gour Chowk Buxar 604023
958427,Rudra Dube,Female,1997-07-09,HR,Recruiter,65000,ranveer40@gmail.com,6417376757,24/41  Khalsa Marg Jehanabad 484362
520117,Faraj Comar,Female,1985-07-04,IT,System Admin,90000,rhans@gmail.com,6633676140,H.No. 297  Bora Chowk Gaya 780215
444434,Ronith Sandhu,Male,1962-10-07,Accounts,Auditor,73000,bahlekaja@gmail.com,7406302775,61/265  Krishna Zila  Siliguri-719426
822329,Omaja Sheth,Female,1995-02-28,Sales,Account Manager,87000,guneetsom@gmail.com,8597781392,70/596  Bobal Road Amroha-602793
923128,Idika Dubey,Female,1993-08-22,Accounts,Financial Analyst,80000,xalakjaggi@gmail.com,832843329,20/521 Pall  Bhagalpur-417971
449769,Charles Dass,Female,1964-08-16,HR,Recruiter,83000,duttarudra@gmail.com,9597834212,124 Wali  Mangalore 309261
473597,Yadavi Thaker,Male,2001-01-10,IT,Developer,90000,xmohanty@gmail.com,9804400457,88/047 Aurora Circle  Deoghar-664284
544196,Ekiya Narayanan,Male,1975-04-02,Accounts,Accountant,57000,netra09@gmail.com,6645732881,451  Hans  Eluru-533454
867206,Jeremiah Sankar,Female,1969-01-04,IT,Developer,51000,shenoychandran@gmail.com,6368009930,H.No. 943 Dugar Circle  Motihari 036445
774717,Priya Kakar,Male,1994-04-26,Marketing,Content Creator,55000,narangsamesh@gmail.com,8119126209,81  Bose Nagar  Mirzapur-698486
177178,Vivaan Sharma,Female,1977-01-14,HR,HR Manager,65000,ganne@gmail.com,8968618532,H.No. 495 Gopal Road Guntur 113621
449769,Charles Dass,Female,1964-08-16,HR,Recruiter,83000,duttarudra@gmail.com,9597834212,124 Wali  Mangalore 309261
137287,Bakhshi Ramaswamy,Female,1982-05-11,HR,Recruiter,67000,brarjanuja@gmail.com,8501778222,H.No. 679 Ahuja Chowk Kolhapur 925326
394851,Waida Thakur,Male,1981-10-12,Sales,Sales Executive,61000,garima95@gmail.com,6099829131,06/67 Mohanty Ganj Sangli-Miraj & Kupwad-077723
302173,Ryan Raja,Male,1966-10-05,HR,Training Coordinator,54000,nathansen@gmail.com,7912987263,11/22  Manne Circle  Katihar-833117
654560,Ekani Agarwal,Male,1986-11-17,HR,Training Coordinator,42000,niharikadutt@gmail.com,6271258300,65/567 Sharaf  Morena-648008
306324,Oscar Ratti,Male,1983-08-16,Accounts,Financial Analyst,89000,hemangmallick@gmail.com,9712487369,93/45  Bobal Nagar Vellore 713002
544196,Ekiya Narayanan,Male,1975-04-02,Accounts,Accountant,57000,netra09@gmail.com,6645732881,451  Hans  Eluru-533454
689647,Orinder Basak,Male,1982-03-20,Marketing,Marketing Executive,41000,gpal@gmail.com,7206320869,29/227 Grover Nagar  Sonipat 533791
502897,Vrinda Shanker,Female,1999-05-31,Sales,Sales Executive,,aachalvaidya@gmail.com,7233122741,64/728  Desai Road Hosur 972616
979280,Nandini Dhar,Female,1961-03-24,HR,Training Coordinator,45000,nayargaurang@gmail.com,8398005600,77/366  Ghosh Circle  Cuttack-992130
709508,Tripti Mander,Female,1980-03-04,IT,Developer,46000,sombimala@gmail.com,7070798098,06 Chakraborty Zila  Tumkur 759191
891830,Yashodhara Tiwari,Male,1963-08-04,Marketing,Marketing Executive,70000,yadavi74@gmail.com,8414302633,57/48  Pradhan Ganj  Shivpuri 071747
517529,Vivaan Kari,Female,1975-06-07,HR,HR Manager,74000,doshijack@gmail.com,9856809455,349 Bumb Morbi-477618
